,Account,MacroAccount,Description
0,C002,COMMODITY,Canola (including rapeseed)
1,C003,COMMODITY,Oilseeds (except canola)
2,C004,COMMODITY,Wheat
3,C005,COMMODITY,Grains (except wheat)
4,C006,COMMODITY,Fresh potatoes
5,C007,COMMODITY,Fruits and tree nuts
6,C008,COMMODITY,Other crop products
7,C009,COMMODITY,Fresh vegetables (except potatoes)
8,C010,COMMODITY,Imputed feed (animal feed produced for own consumption)
9,C011,COMMODITY,Nursery and floriculture products (except cannabis)
10,C012,COMMODITY,Cattle and calves
11,C013,COMMODITY,Unprocessed fluid milk
12,C014,COMMODITY,Hogs
13,C015,COMMODITY,Eggs in shell
14,C016,COMMODITY,Poultry
15,C017,COMMODITY,Other live animals
16,C018,COMMODITY,"Raw furskins, and animal products n.e.c."
17,C019,COMMODITY,Imputed fertilizer (fertilizer produced for own consumption)
18,C020,COMMODITY,Logs and bolts
19,C021,COMMODITY,Pulpwood
20,C022,COMMODITY,Fuel wood
21,C023,COMMODITY,"Rough untreated poles, posts and piling"
22,C024,COMMODITY,"Fish, crustaceans, shellfish and other fishery products"
23,C025,COMMODITY,Custom work services for forestry
24,C026,COMMODITY,Support services for crop production
25,C027,COMMODITY,"Support services for animal production, hunting and fishing"
26,C028,COMMODITY,Support services for forestry
27,C029,COMMODITY,Conventional and synthetic crude oil
28,C030,COMMODITY,Natural gas
29,C031,COMMODITY,Natural gas liquids and related products
30,C032,COMMODITY,Crude and diluted bitumen
31,C033,COMMODITY,Coal
32,C034,COMMODITY,Iron ores and concentrates
33,C035,COMMODITY,Gold and silver ores and concentrates
34,C038,COMMODITY,Stone
35,C039,COMMODITY,"Sand, gravel, clay, and refractory minerals"
36,C040,COMMODITY,Uncut and industrial diamonds
37,C041,COMMODITY,Potash
38,C042,COMMODITY,Non-metallic minerals (except diamonds)
39,C043,COMMODITY,Support services for oil and gas extraction (except exploration)
40,C044,COMMODITY,Support services for mining and quarrying (except exploration)
41,C045,COMMODITY,Mineral and oil and gas exploration
42,C046,COMMODITY,Electricity
43,C047,COMMODITY,Natural gas distribution
44,C048,COMMODITY,Water delivered by water works and irrigation systems
45,C049,COMMODITY,Sewage and dirty water disposal and cleaning services
46,C050,COMMODITY,Steam and heated or cooled air or water
47,C051,COMMODITY,Residential construction
48,C052,COMMODITY,Industrial buildings
49,C053,COMMODITY,Office buildings
50,C054,COMMODITY,"Shopping centers, plazas, malls and stores"
51,C055,COMMODITY,Other commercial buildings
52,C056,COMMODITY,"Schools, colleges, universities and other educational buildings"
53,C057,COMMODITY,Health care buildings
54,C058,COMMODITY,Other institutional buildings
55,C059,COMMODITY,"Highways, roads, streets, bridges and tunnels"
56,C060,COMMODITY,Other transportation construction
57,C061,COMMODITY,Production facilities in oil and gas extraction
58,C062,COMMODITY,Other oil and gas engineering construction
59,C063,COMMODITY,Electric power engineering construction
60,C064,COMMODITY,Communication engineering construction
61,C065,COMMODITY,Marine engineering construction
62,C066,COMMODITY,Waterworks engineering construction
63,C067,COMMODITY,Sewage engineering construction
64,C068,COMMODITY,Mining engineering construction
65,C069,COMMODITY,Other engineering construction
66,C070,COMMODITY,Repair construction services
67,C071,COMMODITY,Dog and cat food
68,C072,COMMODITY,Other animal feed
69,C073,COMMODITY,Flour and other grain mill products
70,C074,COMMODITY,Margarine and cooking oils
71,C075,COMMODITY,Breakfast cereal and other cereal products
72,C076,COMMODITY,"Grain and oilseed products, not elsewhere classified"
73,C077,COMMODITY,Sugar and sugar mill by-products
74,C078,COMMODITY,Chocolate (except confectionery)
75,C079,COMMODITY,Confectionery products
76,C080,COMMODITY,"Fresh, frozen and canned fruit and vegetable juices"
77,C081,COMMODITY,Preserved fruit and vegetables and frozen foods
78,C082,COMMODITY,Processed fluid milk and milk products
79,C083,COMMODITY,Cheese and cheese products
80,C084,COMMODITY,Butter and dry and canned dairy products
81,C085,COMMODITY,"Ice cream, sherbet and similar frozen desserts"
82,C086,COMMODITY,Fresh and frozen beef and veal
83,C087,COMMODITY,Fresh and frozen pork
84,C088,COMMODITY,Fresh and frozen poultry of all types
85,C089,COMMODITY,Fresh and frozen lamb and goat meat
86,C090,COMMODITY,"Processed meat products, other miscellaneous meats and animal by-products"
87,C091,COMMODITY,Prepared and packaged seafood products
88,C092,COMMODITY,"Bread, rolls and flatbreads"
89,C093,COMMODITY,"Cookies, crackers and baked sweet goods"
90,C094,COMMODITY,"Flour mixes, dough and dry pasta"
91,C095,COMMODITY,Snack food products
92,C096,COMMODITY,Coffee and tea
93,C097,COMMODITY,"Flavouring syrups, seasonings and dressings"
94,C098,COMMODITY,"Other food products, n.e.c."
95,C099,COMMODITY,"Bottled water, soft drinks and ice"
96,C100,COMMODITY,Beer
97,C101,COMMODITY,Wine and brandy
98,C102,COMMODITY,Distilled liquor
99,C104,COMMODITY,"Fibre, yarn and thread"
100,C105,COMMODITY,Fabrics
101,C106,COMMODITY,"Carpets, rugs and mats"
102,C107,COMMODITY,Other textile furnishings
103,C108,COMMODITY,"Textile products, n.e.c."
104,C109,COMMODITY,Textile and fabric finishing and coating services
105,C110,COMMODITY,"Men's, women's, boys' and girls' clothing"
106,C111,COMMODITY,Infant clothing
107,C112,COMMODITY,Clothing accessories
108,C113,COMMODITY,Leather and dressed furs
109,C114,COMMODITY,Footwear
110,C115,COMMODITY,"Suitcases, handbags and other leather and allied products"
111,C116,COMMODITY,Hardwood lumber
112,C117,COMMODITY,Softwood lumber
113,C118,COMMODITY,Wood chips
114,C119,COMMODITY,Other sawmill products and treated wood products
115,C120,COMMODITY,Veneer and plywood
116,C121,COMMODITY,Wood trusses and engineered wood members
117,C122,COMMODITY,Reconstituted wood products
118,C123,COMMODITY,Wood windows and doors
119,C124,COMMODITY,Other wood millwork products
120,C125,COMMODITY,Wood containers and pallets
121,C126,COMMODITY,"Prefabricated wood buildings, components and other miscellaneous wood products"
122,C127,COMMODITY,Waste and scrap of wood and wood by-products
123,C128,COMMODITY,Wood pulp
124,C129,COMMODITY,Paper (except newsprint)
125,C130,COMMODITY,Newsprint
126,C131,COMMODITY,Paperboard
127,C132,COMMODITY,Paperboard containers
128,C133,COMMODITY,Paper office supplies
129,C134,COMMODITY,Disposable diapers and feminine hygiene products
130,C135,COMMODITY,Sanitary paper products
131,C136,COMMODITY,Other converted paper products
132,C137,COMMODITY,Waste and scrap of paper and paperboard
133,C138,COMMODITY,Printed products
134,C139,COMMODITY,Support services for printing
135,C140,COMMODITY,Contract printing services for publishers
136,C141,COMMODITY,Gasoline
137,C142,COMMODITY,Diesel and biodiesel fuels
138,C143,COMMODITY,Light fuel oils
139,C144,COMMODITY,Jet fuel
140,C145,COMMODITY,Heavy fuel oils
141,C146,COMMODITY,Asphalt (except natural) and asphalt products
142,C147,COMMODITY,Coke and other coke oven products
143,C149,COMMODITY,Petrochemicals
144,C150,COMMODITY,Industrial gases
145,C151,COMMODITY,Dyes and pigments
146,C152,COMMODITY,Other basic inorganic chemicals
147,C153,COMMODITY,"Basic organic chemicals, n.e.c."
148,C154,COMMODITY,Plastic resins
149,C155,COMMODITY,Rubber and rubber compounds and mixtures
150,C156,COMMODITY,Artificial and synthetic fibres and filaments
151,C157,COMMODITY,Ammonia and chemical fertilizers
152,C158,COMMODITY,Pesticides and other agricultural chemicals
153,C159,COMMODITY,Pharmaceutical and medicinal products
154,C160,COMMODITY,"Paints, coatings and adhesive products"
155,C161,COMMODITY,Soaps and cleaning compounds
156,C162,COMMODITY,Perfumes and toiletries
157,C163,COMMODITY,"Chemical products, n.e.c."
158,C164,COMMODITY,Plastic bags
159,C165,COMMODITY,Plastic films and non-rigid sheets
160,C166,COMMODITY,Plastic and foam building and construction materials
161,C167,COMMODITY,Plastic profile shapes
162,C168,COMMODITY,Foam products (except for construction)
163,C169,COMMODITY,Plastic bottles
164,C170,COMMODITY,Motor vehicle plastic parts
165,C171,COMMODITY,"Plastic products, n.e.c."
166,C172,COMMODITY,Tires
167,C173,COMMODITY,Rubber and plastic hoses and belts
168,C174,COMMODITY,"Rubber products, n.e.c."
169,C175,COMMODITY,Waste and scrap of plastic and rubber
170,C176,COMMODITY,Cement
171,C177,COMMODITY,Ready-mixed concrete
172,C178,COMMODITY,Concrete products
173,C179,COMMODITY,Clay and ceramic products and refractories
174,C180,COMMODITY,"Glass (including automotive), glass products and glass containers"
175,C181,COMMODITY,Waste and scrap of glass
176,C182,COMMODITY,Lime and gypsum products
177,C183,COMMODITY,"Non-metallic mineral products, n.e.c."
178,C184,COMMODITY,Iron and steel basic shapes and ferro-alloy products
179,C185,COMMODITY,Iron and steel pipes and tubes (except castings)
180,C186,COMMODITY,Wire and other rolled and drawn steel products
181,C188,COMMODITY,Basic and semi-finished products of aluminum and alloys
182,C191,COMMODITY,Basic and semi-finished products of non-ferrous metals and alloys (except aluminum)
183,C192,COMMODITY,Ferrous metal castings
184,C193,COMMODITY,Non-ferrous metal castings
185,C194,COMMODITY,Waste and scrap of iron and steel
186,C195,COMMODITY,Waste and scrap of non-ferrous metals
187,C196,COMMODITY,Forged and stamped metal products
